tag,site,DBH cm,height m,crown base ht m, CVS,CVC,bole char ht cm,bole ch DBH perc,bole ch base perc,mean depth consumed cm,prop duff cons ,mean duff depth cm,Cvsprouting percent,max sprout ht cm,scar,1yr_dieback,2yr_mort,2yr_basal sprouting,5yr_mort,,,
201,UWTT,10.7,7.4,3,100,0,0,0,0,0.5,8.33,0.75,0,0,1,100,L,N,L,,,
202,UWTT,19.9,10.1,3.1,100,0,0,0,0,0,0,0,60,0,1,40,L,N,L,,,
203,UWTT,34.8,17.7,6.6,50,0,30,0,5,0,0,0,0,0,1,30,L,N,L,,,
204,UWTT,59.8,18.8,6.4,70,0,2.1,50,80,3.5,79.68,4.542857143,80,15,1,10,L,Y,L,,,
205,UWTT,44.4,16,3.3,100,0,0,0,0,0,0,0,70,0,0,20,L,N,L,,,
206,UWTT,30.4,12.6,7.4,70,0,62,0,20,0,0,0,0,0,1,10,L,N,L,,,
207,UWTT,36.2,10.4,5.7,60,0,105,0,30,0.09,4.38,2,0,0,1,10,L,N,L,,,
208,UWTT,26,15.7,8.4,30,0,14,0,5,0,0,0,0,0,0,0,L,N,L,,,
209,UWTT,23.4,13.3,4.5,80,0,6,10,0,0,0,0,0,0,0,10,L,N,L,,,
210,UWTT,20.3,9.8,7.1,40,0,43,0,10,0.1,8.33,1.2,0,0,1,10,L,N,L,,,
211,UWTT,32,8.8,3.3,60,0,133,10,20,0,0,0,0,0,0,0,L,N,L,,,
212,UWTT,22.6,12.7,6.7,10,0,15,0,10,0.33,12.5,2.6,0,0,1,10,L,N,L,,,
213,UWTT,39.2,17.9,9.7,80,0,20,0,10,0,0,0,0,0,1,20,L,Y,L,,,
214,UWTT,39.5,11.7,3.2,5,0,0,0,0,0,0,0,0,0,0,0,L,N,L,,,
215,UWTT,25.9,12.9,3.6,100,0,25,0,10,0.28,9.5,3.25,70,0,0,10,L,Y,L,,,
216,UWTT,31.6,14.1,4.8,1,0,10,0,1,0,0,0,0,0,0,0,L,N,L,,,
217,UWTT,32.7,7.4,3.1,5,0,0,0,0,0,0,0,0,0,0,0,L,N,L,,,
218,UWTT,29.9,9.7,3.5,10,0,0,0,0,0,0,0,0,0,1,0,L,Y,L,,,
219,UWTT,42,11.8,4.4,90,0,15,0,1,0,0,0,70,0,1,10,L,Y,L,,,
220,UWTT,39.8,15.1,3.9,10,0,0,0,0,0,0,0,0,0,0,0,L,N,L,,,
221,UWTT,22.2,10.3,4.9,100,1,0,0,0,0,0,0,0,0,0,10,L,Y,L,,,
222,UWTT,13.9,7.2,3.5,100,1,0,0,0,0,0,0,10,0,0,10,L,Y,L,,,
223,UWTT,28,11.8,4,10,0,50,0,20,0,0,0,0,0,1,0,L,N,L,,,
224,UWTT,25.5,9.3,4.1,70,0,37,0,10,0.35,22,1.566666667,0,0,1,10,L,N,L,,,
225,UWTT,17.5,11.9,8.5,40,0,10,0,10,0.13,8.33,0.1875,0,0,0,0,L,N,L,,,
226,UWTT,13.2,5.7,4,100,0,73,0,0,0.1,4.55,2.2,0,0,1,100,L,N,L,,,
227,UWTT,21.5,12.6,5.9,80,0,32,0,20,0,0,0,0,0,0,0,L,N,L,,,
228,UWTT,37.4,17.5,6,50,0,25,0,1,0.19,11.03,1.7,0,0,1,0,L,N,L,,,
229,UWTT,42.8,19.4,6.8,0,0,0,0,0,0,0,0,0,0,1,0,L,Y,L,,,
230,UWTT,14.5,10.5,7.5,90,0,38,0,100,2.36,69.74,3.2,0,0,1,10,L,Y,L,,,
231,UWTT,19.9,13,7.5,40,0,22,0,50,0.65,21.53,2.966666667,0,0,1,10,L,Y,L,,,
232,UWTT,21.6,10.5,7.6,100,0,10,0,40,0.33,8.61,3.85,30,5,1,40,L,Y,L,,,
233,UWTT,15.9,7,3.3,80,0,11,0,30,0.31,12.33,2.5,0,0,1,50,L,N,L,,,
234,UWTT,9.1,6.2,4,100,0,20,0,0,0,0,0,0,0,0,20,L,N,L,,,
235,UWTT,38.3,14.1,4.2,90,0,0,0,0,0.16,7.39,2.2,0,0,1,30,L,N,L,,,
236,UWTT,16,9.3,4.6,100,0,100,0,40,1.13,32.8,3.3,80,0,1,50,L,Y,L,,,
237,UWTT,22.2,12.1,6.2,100,0,75,0,10,0,0,0,20,0,0,50,L,N,L,,,
238,UWTT,32.8,10.2,3.9,90,0,70,0,80,1.74,48.33,3.525,0,0,1,10,L,N,L,,,
239,UWTT,7.4,4.8,3.1,100,0,0,0,0,0.6,18.08,3.4,0,0,1,90,L,Y,L,,,
240,UWTT,16.2,11.2,5.5,100,0,72,0,50,0.56,15.33,3.933333333,0,0,0,100,L,N,L,,,
241,UWTT,12.6,8.3,3.7,100,0,0,0,0,0,0,0,5,0,0,100,L,N,L,,,
242,UWTT,28,15,4.4,10,0,16,0,20,0.44,16.22,2.466666667,0,0,1,0,L,N,L,,,
243,UWTT,9,4.5,2.25,90,0,175,30,60,0.28,12.5,2.2,5,0,1,60,L,N,L,,,
244,UWTT,23,14.1,6.3,20,0,40,0,70,0,0,0,0,0,0,10,L,Y,L,,,
245,UWTT,21.8,13,4.7,100,0,8,0,20,0,0,0,0,0,0,50,L,N,L,,,
246,UWTT,17.1,13,9.3,90,0,33,0,70,0.08,3.95,1.9,0,0,1,10,L,N,L,,,
247,UWTT,39.8,11,2.9,10,0,15,0,10,0,0,0,0,0,0,10,L,N,L,,,
248,UWTT,5,3.6,2.17,70,0,7,0,10,0.28,12.97,2.05,0,0,1,30,L,Y,L,,,
249,UWTT,5.1,3.1,2,100,0,23,0,60,0.25,8.77,2.866666667,0,0,1,100,L,N,L,,,
250,UWTT,5,2.85,2,100,0,0,0,0,0,0,0,0,0,1,50,L,Y,L,,,
251,UWTB,21.5,11.7,2,100,1,50,0,50,1.4,50,2.8,60,0,1,50,L,N,L,,,
252,UWTB,8.2,5.4,2.3,100,0,9,0,15,1.43,33.22,3.8,0,0,1,80,L,N,L,,,
253,UWTB,28.6,10.5,3.6,100,1,250,50,50,3.24,60.06,5.1,50,0,1,40,L,N,L,,,
254,UWTB,25.2,10.1,2.7,100,0,100,0,90,0.85,21.94,3.933333333,5,0,1,10,L,N,L,,,
255,UWTB,15.9,13.1,7.1,80,0,10,0,30,3.09,62.55,4.685714286,0,0,1,30,L,N,L,,,
256,UWTB,21.4,8.1,6.3,10,0,22,0,70,1.44,57.82,2.6,0,0,1,10,L,N,,,,
257,UWTB,37.9,11.6,7.1,0,0,37,0,30,1.79,30.56,7.266666667,0,0,1,0,L,N,L,,,
258,UWTB,22.6,11.6,7.6,0,0,7,0,5,0,0,0,0,0,1,10,L,N,L,,,
259,UWTB,20,13.7,6.8,0,0,0,0,0,0,0,0,0,0,0,0,L,N,L,,,
260,UWTB,26.4,14.7,9.1,0,0,0,0,0,0,0,0,0,0,1,0,L,N,L,,,
261,UWTB,13,5.5,4,90,0,25.6,20,100,4.39,71.67,6.014285714,0,0,1,50,L,Y,L,,,
262,UWTB,11.5,6.7,4.6,100,0,151,10,80,0.86,14.24,5.95,0,0,1,70,L,Y,,,,
263,UWTB,18.4,11.1,7.2,80,0,380,50,100,1.84,56.91,3.485714286,0,0,1,10,L,Y,L,,, 
264,UWTB,45.2,14.6,4.2,10,0,5,0,5,0.21,8.5,2.5,0,0,1,0,L,N,L,,,
265,UWTB,30.1,11.2,4.2,30,0,9,0,40,0.16,4.64,3.5,0,0,0,0,L,N,L,,,
266,UWTB,24.1,5.4,1.3,0,0,25,0,50,0.2,4.9,4.1,0,0,1,20,L,N,L,,,
267,UWTB,25.5,13.9,8.4,60,0,25,0,40,0.63,8.93,7,0,0,1,0,L,N,L,,,
268,UWTB,20.2,8.8,2.1,90,0,0,0,0,0,0,0,0,0,1,10,L,N,L,,,
269,UWTB,23.6,11.4,5.2,40,0,63,0,20,0.4,15.2,2.65,0,0,0,10,L,N,L,,,
270,UWTB,6.1,4.2,2.2,100,0,140,40,90,0.61,17.5,0.9,0,0,1,100,L,Y,L,,,
271,UWTB,39.6,17.3,7.8,100,0,3,0,70,2.48,49.12,5.2,80,0,1,0,L,N,L,,,
272,UWTB,29.5,12.9,8.5,10,0,193,10,70,1.75,28.42,13.375,0,0,1,0,L,N,L,,,
273,UWTB,29.3,14.2,7.6,20,0,30,0,30,2.13,51.09,4.233333333,0,0,1,0,L,N,L,,,
274,UWTB,14.6,8.3,2.8,90,5,117,0,90,2.5,47.71,4.716666667,70,0,1,40,L,Y,L,,,
275,UWTB,9.9,5.9,2.2,100,0,310,100,50,0.16,4.69,3.3,40,0,1,60,L,N,,,,
276,UWTB,12,7.5,5.5,100,0,171,40,30,1.63,35.79,4.783333333,60,0,1,40,L,N,L,,,
277,UWTB,15.1,8.7,3.2,100,0,65,0,90,2.89,95.67,4.014285714,30,0,1,50,L,N,L,,,
278,UWTB,25,8.3,3.1,100,5,380,70,70,0.94,25.6,3.7,0,0,1,80,L,Y,L,,,
279,UWTB,9.5,7,2.1,90,0,279,70,50,2.28,42.8,4.866666667,0,0,1,60,L,N,L,,,
280,UWTB,27.9,13.6,4.6,100,0,3.2,50,30,1.6,25,6.4,0,0,1,60,L,N,L,,,
281,UWTB,48.2,27.6,6.9,70,1,175,10,50,0.64,21.32,2.766666667,20,0,1,20,L,N,L,,,
282,UWTB,7,5.2,2.6,100,10,277,70,40,0.14,4.58,3,0,0,1,90,L,Y,D,,,
283,UWTB,19.9,12.8,2.3,100,0,116,5,40,1.95,46,4.216666667,0,0,1,50,L,Y,L,,,
284,UWTB,22.9,17,7.6,20,0,175,25,90,4.28,66.79,6.016666667,0,0,1,10,L,N,L,,,
285,UWTB,16.9,7.9,2.6,100,0,340,50,90,0.28,7.32,3.75,20,0,1,40,L,N,L,,,
286,UWTB,9.9,9.1,4.1,100,0,29,0,70,1.51,23.82,6.266666667,0,0,1,50,L,Y,L,,,
287,UWTB,6,4.6,2.9,100,5,2.9,30,100,1.55,37.95,4.414285714,0,0,0,90,L,Y,L,,,
288,UWTB,15.3,7.5,3,100,0,6,0,20,0,0,0,0,0,1,40,L,N,L,,,
289,UWTB,15.4,6.2,2.7,100,0,170,30,90,2.18,32.92,5.06,0,0,1,80,L,N,L,,,
290,UWTB,17.2,10.2,1.5,60,0,8,0,10,0.94,15.59,3.975,0,0,0,30,L,Y,L,,,
291,UWTB,50.1,13.4,4.2,20,0,41,0,40,1.65,12.5,3.3,0,0,0,10,L,N,L,,,
292,UWTB,18,11,4.8,10,0,4.5,0,40,2.52,32.91,4.6,0,0,1,40,L,N,L,,,
293,UWTB,37.2,12.8,1.6,10,0,81,0,40,2.93,23.59,4.75,0,0,0,10,L,N,L,,,
294,UWTB,15.3,6.2,1.9,100,0,60,0,70,1.56,44.07,3.4,10,0,0,20,L,Y,L,,,
295,UWTB,16.7,11.9,4.3,5,0,50,0,100,7.23,48.53,7.475,0,0,1,0,L,Y,L,,,
296,UWTB,17.2,10,1.4,80,0,10,0,20,3.5,10.54,8.3,0,0,0,10,L,N,L,,,
297,UWTB,9.8,9.3,6.3,100,0,6,0,10,0.5,2.72,4.6,50,0,1,20,L,N,L,,,
298,UWTB,20.4,8.6,2.6,100,0,100,0,80,2.64,26.2,5.875,0,0,1,70,L,N,L,,,
299,UWTB,5.2,3.2,2.4,100,0,63,0,0,0,0,0,0,0,0,100,L,Y,L,,,
300,UWTB,37.6,13.7,6,90,0,5.1,60,70,4.12,42.4,5.9,70,0,0,10,L,N,L,,,
443,HLD01,5.5,3.3,1.4,100,0,30,0,100,4.37,54.35,6.683333333,0,20,0,100,TK,Y,,,,
444,HLD01,12.5,8.5,3.1,30,0,15,0,50,0,0,0,0,0,0,0,L,N,,,,
445,HLD01,11.5,10.3,5.9,0,0,0,0,0,0,0,0,0,0,0,0,L,N,,,,
446,HLD01,12.2,9.5,4.6,100,0,55,0,90,4.5,12.5,9,20,0,0,70,L,N,,,,
447,HLD01,13.6,7.2,2.1,90,0,90,0,100,2.05,20.56,4.766666667,50,0,0,40,L,Y,,,,
448,HLD01,29.2,9.2,5.3,100,0,175,60,100,7.16,79.64,8.585714286,0,0,0,100,TK,Y,,,,
449,HLD01,19.2,11.9,4.5,100,0,114,0,100,6.75,84.32,7.475,60,0,0,20,L,Y,,,,
450,HLD01,21.4,13.3,5.8,60,70,52,0,100,2.2,43.18,4.457142857,30,0,0,10,L,Y,,,,
451,HLD01,14.2,7.1,3.9,50,0,10,0,20,0,0,0,0,0,0,0,L,N,,,,
452,HLD01,11.2,6.4,2.6,30,0,33,0,60,1.4,8.05,4.45,0,0,0,10,L,N,,,,
453,HLD01,19.5,8.7,5.2,70,0,33,0,60,8.85,50,8.85,0,0,0,10,L,Y,,,,
454,HLD01,20.7,11,3.7,100,0,28,0,50,6.4,25,6.4,0,0,0,20,L,N,,,,
455,HLD01,11.9,10.2,5.5,100,0,19,0,70,1.8,12.02,3.7,70,0,0,0,L,N,,,,
456,HLD01,15.7,10.8,6.1,60,0,11,0,40,1,8.59,2.8,0,0,0,10,L,N,,,,
457,HLD01,20,11.5,4.7,70,0,40,0,100,4.29,72.88,5.785714286,0,0,0,0,L,N,,,,
458,HLD01,23.1,13.7,6,60,0,41,0,100,5.05,78.53,6.45,0,0,0,0,L,N,,,,
459,HLD01,27,12,2.7,100,0,0.6,0,50,4.83,27.4,6.366666667,80,0,0,20,L,N,,,,
460,HLD01,27.1,11,2.9,20,0,0,0,0,0,0,0,0,0,0,10,L,N,,,,
461,HLD01,23.2,12.1,3.5,60,0,56,0,40,6.25,50,6.25,0,0,0,20,L,Y,,,,
462,HLD01,23,12.02,5.3,40,0,13,0,40,9.93,37.5,9.933333333,0,0,0,0,,,,,,
463,HLD01,29.7,11.7,3,20,0,0.2,0,1,0,0,0,0,0,0,10,L,N,,,,
464,HLD01,34,10.9,3.7,80,5,140,20,80,2.43,52.06,4.542857143,0,0,0,10,L,Y,,,,
465,HLD01,27.2,13.7,4.7,50,0,26,0,70,2.93,20.07,5.233333333,0,0,0,10,L,N,,,,
466,HLD01,10,5.5,1.9,100,5,47,0,30,0,0,0,0,0,0,40,L,N,,,,
467,HLD01,30,11.2,2.5,100,0,78,0,100,4.49,62.32,6.214285714,0,0,0,10,L,N,,,,
468,HLD01,24.5,12.3,3,100,0,166,10,100,4.31,61.87,6.45,5,0,0,30,L,N,,,,
469,HLD01,13.4,9.4,2.9,10,0,12,0,100,0,0,0,0,0,0,0,L,N,,,,
470,HLD01,10.6,7.1,2.7,100,0,58,0,100,1,3.47,3.6,0,0,0,30,L,N,,,,
471,HLD01,12.4,10.6,2,100,0,47,0,100,2.5,43.2,3.7,80,0,0,90,L,Y,,,,
472,HLD01,19.6,10.2,4.9,100,0,51,0,10,1.4,6.48,2.7,0,0,0,80,L,N,,,,
473,HLD01,5.2,4.4,1.73,100,0,37,0,100,5.53,46.44,8.966666667,0,0,0,100,TK,Y,,,,
474,HLD01,16.7,11.2,4.3,100,0,190,80,90,5.1,73.16,5.857142857,0,0,0,30,L,N,,,,
475,HLD01,13.8,11.7,5,60,0,25,0,70,2.98,39.98,3.85,0,0,0,20,L,N,,,,
476,HLD01,13.9,7.3,1.6,100,0,86,0,100,1.79,40.99,4.228571429,25,0,0,70,L,Y,,,,
477,HLD01,14,8.8,2.1,90,0,63,0,50,1.73,26.65,2.8,0,0,0,10,L,N,,,,
478,HLD01,15,10.8,3.6,40,0,61,0,80,0,0,0,0,0,0,10,L,N,,,,
479,HLD01,12.6,8.9,3.1,40,0,30,0,50,0,0,0,0,0,0,10,L,N,,,,
480,HLD01,9.6,5.3,4.5,20,0,135,40,100,3.56,69.56,5.0875,0,0,0,40,D,N,,,,
