tag #,% leafing,dieback,basal sprouts ht,basal sp #,epicormics,site,notes
201,0,100,,,,UWTT,
202,60,40,,,0,UWTT,
203,70,30,,,0,UWTT,
204,90,10,,3,10,UWTT,
205,80,20,,,0,UWTT,
206,90,10,,,0,UWTT,
207,90,10,,,0,UWTT,
208,100,0,,,,UWTT,
209,90,10,,,,UWTT,
210,90,10,,,,UWTT,
211,100,0,,,,UWTT,
212,90,10,,,0,UWTT,
213,80,20,,,,UWTT,
214,100,0,,,,UWTT,
215,90,10,,,,UWTT,
216,100,0,,,,UWTT,
217,100,0,,,,UWTT,
218,100,0,,,,UWTT,
219,90,10,,,,UWTT,
220,100,0,,,,UWTT,
221,90,10,,,,UWTT,
222,90,10,,,,UWTT,
223,100,0,,,,UWTT,
224,90,10,,,,UWTT,
225,100,0,,,,UWTT,
226,0,100,,,,UWTT,
227,100,0,,,,UWTT,
228,100,0,,,,UWTT,
229,100,0,,,0,UWTT,
230,90,10,,,0,UWTT,
231,90,10,,,0,UWTT,
232,60,40,,,0,UWTT,
233,50,50,,0,0,UWTT,
234,80,20,,,0,UWTT,
235,70,30,,,0,UWTT,
236,50,50,,,0,UWTT,
237,50,50,,,0,UWTT,
238,90,10,,,0,UWTT,
239,10,90,,,0,UWTT,
240,0,100,0,,80,UWTT,
241,0,100,0,,30,UWTT,
242,100,0,,,0,UWTT,
243,40,60,,,0,UWTT,
244,90,10,,,0,UWTT,
245,50,50,,,0,UWTT,
246,90,10,,,0,UWTT,
247,90,10,0,,0,UWTT,
248,70,30,5,2,,UWTT,
249,0,100,0,,70,UWTT,
250,50,50,,,0,UWTT,
251,50,50,,,,UWTB,
252,20,80,,,,UWTB,
253,60,40,10,,,UWTB,
254,90,10,,,,UWTB,
255,70,30,,,,UWTB,
256,90,10,,,,UWTB,
257,100,0,,,,UWTB,
258,90,10,,,,UWTB,
259,100,0,,,,UWTB,
260,100,0,,,,UWTB,
261,50,50,,,,UWTB,
262,30,70,,,,UWTB,
263,90,10,,,,UWTB,
264,100,0,,,,UWTB,
265,100,0,,,,UWTB,
266,80,20,,,,UWTB,
267,100,0,,,,UWTB,
268,90,10,,,,UWTB,
269,90,10,,,,UWTB,
270,0,100,,,,UWTB,
271,100,0,,,,UWTB,
272,100,0,,,,UWTB,
273,100,0,,3,10,UWTB,
274,60,40,,,,UWTB,
275,40,60,10,,,UWTB,
276,60,40,,,,UWTB,
277,50,50,,,,UWTB,
278,20,80,,,,UWTB,
279,40,60,,,,UWTB,
280,40,60,,,,UWTB,
281,80,20,,,,UWTB,
282,10,90,30,,,UWTB,
283,50,50,30,1,10,UWTB,
284,90,10,,,,UWTB,
285,60,40,,,,UWTB,
286,50,50,,,,UWTB,
287,10,90,,,,UWTB,
288,60,40,,,,UWTB,
289,20,80,,,,UWTB,
290,70,30,,,,UWTB,
291,90,10,,,,UWTB,
292,60,40,,,,UWTB,
293,90,10,,,,UWTB,
294,80,20,,,,UWTB,
295,100,0,,,,UWTB,
296,90,10,,,,UWTB,
297,80,20,,,,UWTB,
298,30,70,,,,UWTB,
299,0,100,,,,UWTB,
300,90,10,,,,UWTB,
443,0,100,0,1,5,HLD01,
444,100,0,0,0,,HLD01,
445,100,0,0,0,,HLD01,
446,30,70,10,,,HLD01,
447,60,40,10,1,10,HLD01,
448,0,100,0,0,,HLD01,
449,80,20,10,7,30,HLD01,
450,90,10,20,12,30,HLD01,
451,100,0,0,0,,HLD01,
452,90,10,0,0,,HLD01,
453,90,10,10,10,15,HLD01,
454,80,20,10,0,,HLD01,
455,100,0,0,0,,HLD01,
456,90,10,0,0,,HLD01,
457,100,0,0,0,,HLD01,
458,100,0,0,0,,HLD01,
459,80,20,10,0,,HLD01,
460,90,10,10,0,,HLD01,
461,80,20,10,0,,HLD01,
462,100,0,0,0,,HLD01,
463,90,10,0,0,,HLD01,
464,90,10,10,0,,HLD01,
465,90,10,10,0,,HLD01,
466,60,40,50,0,,HLD01,
467,90,10,10,,,HLD01,
468,70,30,20,9,40,HLD01,
469,100,0,0,0,,HLD01,
470,70,30,10,,,HLD01,
471,10,90,70,1,10,HLD01,
472,20,80,60,0,,HLD01,
473,0,100,0,,,HLD01,
474,70,30,10,,,HLD01,
475,80,20,10,0,,HLD01,
476,30,70,20,2,10,HLD01,
477,90,10,10,,,HLD01,
478,90,10,10,,,HLD01,
479,90,10,0,,,HLD01,
480,60,40,0,0,,HLD01,"buds alive, leaves not developing, appears to be changing its mind on leaving out"
481,70,30,20,0,,HLD01,
482,0,100,0,,,HLD01,
483,50,50,10,,,HLD01,
484,80,20,10,,,HLD01,
485,50,50,20,0,,HLD01,
486,80,20,0,0,,HLD01,
487,70,30,10,,,HLD01,
488,90,10,10,1,5,HLD01,
489,0,100,40,0,,HLD01,
490,90,10,0,,,HLD01,
491,60,40,10,,,HLD01,
492,90,10,0,0,,HLD01,
493,90,10,0,0,,HLD01,
