tag,depth consumed,Long,Lat
201,0.5,-122.7063332,46.91624383
202,0,-122.7064316,46.91623045
203,0,-122.706402,46.91622156
204,3.5,-122.7062973,46.91638075
205,0,-122.7065405,46.91628292
206,0,-122.70643,46.91628682
207,0.0875,-122.7065457,46.91646106
208,0,-122.7067201,46.91634466
209,0,-122.7067258,46.91626494
210,0.1,-122.7067523,46.91634747
211,0,-122.706908,46.91640359
212,0.325,-122.7069007,46.91645927
213,0,-122.7070899,46.91661175
214,0,-122.7071457,46.91628263
215,0.275,-122.7071157,46.91638785
216,0,-122.707344,46.91634194
217,0,-122.7073959,46.9163978
218,0,-122.7077659,46.91660642
219,0,-122.707803,46.91700244
220,0,-122.7078931,46.91729715
221,0,-122.7069049,46.91636997
222,0,-122.7069251,46.91627446
223,0,-122.7070241,46.9162536
224,0.35,-122.7069955,46.91629456
225,0.125,-122.7069285,46.91636643
226,0.1,-122.7068932,46.9163351
227,0,-122.7068948,46.91628054
228,0.1875,-122.7072289,46.91656544
229,0,-122.7098485,46.91714426
230,2.3625,-122.7095803,46.91717287
231,0.65,-122.7096338,46.91718171
232,0.325,-122.7093658,46.91714341
233,0.3125,-122.7092926,46.91713719
234,0,-122.7092009,46.91699918
235,0.1625,-122.7093409,46.91709756
236,1.125,-122.7094483,46.91737891
237,0,-122.7093203,46.91738049
238,1.7375,-122.7094231,46.9168417
239,0.6,-122.7092932,46.91682503
240,0.5625,-122.708773,46.91676502
241,0,-122.7086705,46.91681582
242,0.4375,-122.7083857,46.91676197
243,0.275,-122.7083537,46.91668399
244,0,-122.7084063,46.91662507
245,0,-122.708554,46.916609
246,0.075,-122.7085181,46.91662168
247,0,-122.7090686,46.91651393
248,0.275,-122.7092042,46.91659653
249,0.25,-122.7091513,46.91667654
250,0,-122.7094762,46.91655517
251,1.4,-122.7059912,46.91656416
252,1.425,-122.7062264,46.91685894
253,3.2375,-122.7062636,46.91686353
254,0.85,-122.706387,46.91688404
255,3.0875,-122.706542,46.91700102
256,1.4375,-122.7066337,46.91709588
257,1.7875,-122.7068321,46.91708198
258,0,-122.7070388,46.9170823
259,0,-122.7071217,46.91709687
260,0,-122.7070928,46.91701009
261,4.3875,-122.7069728,46.91694918
262,0.8625,-122.7070052,46.91691943
263,1.8375,-122.7068891,46.91685584
264,0.2125,-122.7064899,46.91717249
265,0.1625,-122.7065008,46.91715909
266,0.2,-122.7065645,46.91706962
267,0.625,-122.7067097,46.91703018
268,0,-122.7066897,46.91695656
269,0.4,-122.7067963,46.91699136
270,0.6125,-122.7068312,46.91687426
271,2.475,-122.7067857,46.91679928
272,1.75,-122.706685,46.91674653
273,2.125,-122.7066528,46.91674163
274,2.5,-122.7066973,46.91673961
275,0.1625,-122.7064848,46.9168063
276,1.625,-122.7065056,46.91684729
277,2.8875,-122.7064668,46.91682082
278,0.9375,-122.706261,46.91678416
279,2.275,-122.706127,46.91671373
280,1.6,-122.7062875,46.91668194
281,0.6375,-122.7063419,46.91666648
282,0.1375,-122.7061953,46.91629221
283,1.95,-122.706284,46.91628
284,4.275,-122.7060669,46.91669064
285,0.275,-122.7069572,46.91694729
286,1.5125,-122.7068618,46.91685327
287,1.55,-122.7068021,46.91688465
288,0,-122.7066946,46.91683126
289,2.183333333,-122.7066323,46.91681962
290,0.94,-122.706183,46.91696342
291,1.65,-122.7062154,46.91701596
292,2.52,-122.706362,46.9170315
293,2.933333333,-122.7062355,46.91711673
294,1.557142857,-122.7065064,46.91706981
295,7.225,-122.7067364,46.91708691
296,3.5,-122.7067866,46.91695917
297,0.5,-122.7065962,46.91698145
298,2.64,-122.7066164,46.91687107
299,0,-122.7065295,46.91679326
300,4.116666667,-122.7064702,46.91673428
443,4.371428571,-122.5099519,47.059179
444,0,-122.5097142,47.05924997
445,0,-122.5098845,47.05934969
446,4.5,-122.5101333,47.05950373
447,2.05,-122.5103437,47.05953163
448,7.1625,-122.5101854,47.05956695
449,6.75,-122.5100275,47.05954827
450,2.2,-122.5099096,47.05948478
451,0,-122.5098187,47.05934941
452,1.4,-122.5099382,47.05923294
453,8.85,-122.5096342,47.05936662
454,6.4,-122.5094239,47.05932072
455,1.8,-122.509463,47.05936588
456,1,-122.509449,47.05945581
457,4.2875,-122.5092917,47.05937415
458,5.05,-122.5090667,47.05949916
459,4.833333333,-122.5085501,47.0598299
460,0,-122.5084592,47.05969453
461,6.25,-122.5086409,47.05998327
462,9.933333333,-122.5081296,47.05973811
463,0,-122.5083435,47.06028151
464,2.425,-122.5083565,47.06017622
465,2.933333333,-122.5085268,47.06030998
466,0,-122.5085981,47.06015018
467,4.485714286,-122.507993,47.06038531
468,4.3125,-122.5079055,47.06031863
469,0,122.507482,47.060533
470,1,-122.5076791,47.06064445
471,2.5,-122.5078333,47.0607004
472,1.4,-122.5080414,47.06070993
473,5.533333333,-122.5080921,47.06074801
474,5.1,-122.5083538,47.06088685
475,2.975,-122.5083563,47.06095133
476,1.7875,-122.5084184,47.06108822
477,1.733333333,-122.5074832,47.06024153
478,0,-122.5081367,47.06060086
479,0,-122.5079586,47.06059224
480,3.5625,-122.5086989,47.06127092
481,6.35,-122.5092568,47.06158473
482,7.1,-122.5094975,47.0616523
483,6.65,-122.5093644,47.06152414
484,8.1375,-122.5094156,47.06170253
485,6.35,-122.5092949,47.06163281
486,3.05,-122.509785,47.06202984
487,0,-122.5094193,47.06184859
488,2.171428571,-122.5095681,47.06176725
489,6.1625,-122.5097132,47.06175135
490,0.0625,-122.509814,47.06144437
491,1.025,-122.5098298,47.06114354
492,0.15,-122.5094345,47.06106713
493,2.5,-122.5090344,47.06096404
