tag,con pin1,con pin2,con pin3,con pin4,con pin5,con pin6,con pin7,con pin8,mean,var
201,4,0,0,0,0,0,0,0,0.5,2
202,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0
204,4,4.4,4.5,3.5,2.1,6.2,3.3,0,3.5,3.371428571
205,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0
207,0.7,0,0,0,0,0,0,0,0.0875,0.06125
208,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0
210,0.8,0,0,0,0,0,0,0,0.1,0.08
211,0,0,0,0,0,0,0,0,0,0
212,2.6,0,0,0,0,0,0,0,0.325,0.845
213,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0
215,0.8,1.4,0,0,0,0,0,0,0.275,0.285
216,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0
224,0.7,0.8,1.3,0,0,0,0,0,0.35,0.262857143
225,1,0,0,0,0,0,0,0,0.125,0.125
226,0.8,0,0,0,0,0,0,0,0.1,0.08
227,0,0,0,0,0,0,0,0,0,0
228,1.5,0,0,0,0,0,0,0,0.1875,0.28125
229,0,0,0,0,0,0,0,0,0,0
230,4.5,1.5,2.3,1,1,4,2.1,2.5,2.3625,1.685535714
231,3.4,0.8,1,0,0,0,0,0,0.65,1.402857143
232,1.9,0.7,0,0,0,0,0,0,0.325,0.465
233,1.2,0.6,0.7,0,0,0,0,0,0.3125,0.215535714
234,0,0,0,0,0,0,0,0,0,0
235,1.3,0,0,0,0,0,0,0,0.1625,0.21125
236,2.3,5.5,1.2,0,0,0,0,0,1.125,3.836428571
237,0,0,0,0,0,0,0,0,0,0
238,3.1,4.5,5,1.3,0,0,0,0,1.7375,4.628392857
239,2.6,1,1.2,0,0,0,0,0,0.6,0.902857143
240,1.5,1.9,1.1,0,0,0,0,0,0.5625,0.648392857
241,0,0,0,0,0,0,0,0,0,0
242,0.5,2.2,0.8,0,0,0,0,0,0.4375,0.599821429
243,2.2,0,0,0,0,0,0,0,0.275,0.605
244,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0
246,0.6,0,0,0,0,0,0,0,0.075,0.045
247,0,0,0,0,0,0,0,0,0,0
248,1.5,0.7,0,0,0,0,0,0,0.275,0.305
249,0.8,0.6,0.6,0,0,0,0,0,0.25,0.122857143
250,0,0,0,0,0,0,0,0,0,0
251,1,4.5,3.4,2.3,0,0,0,0,1.4,3.202857143
252,6,1.8,1.5,1.5,0.6,0,0,0,1.425,3.979285714
253,3.2,0.7,3.7,4.4,8.2,5.7,0,0,3.2375,8.522678571
254,2.9,0.9,3,0,0,0,0,0,0.85,1.777142857
255,1.7,5,3.5,4.8,4.2,4.5,1,0,3.0875,3.686964286
256,2,2.7,1.1,2.1,1.1,2.5,0,0,1.4375,1.119821429
257,6,2.5,5.8,0,0,0,0,0,1.7875,7.189821429
258,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0
261,3.5,2.7,11.5,4.1,5.5,5.5,2.3,0,4.3875,11.48410714
262,0.7,2,2.4,1.8,0,0,0,0,0.8625,1.076964286
263,1.5,2.3,2.5,1.3,2.1,2.4,2.6,0,1.8375,0.77125
264,1.7,0,0,0,0,0,0,0,0.2125,0.36125
265,1.3,0,0,0,0,0,0,0,0.1625,0.21125
266,0.9,0.7,0,0,0,0,0,0,0.2,0.14
267,5,0,0,0,0,0,0,0,0.625,3.125
268,0,0,0,0,0,0,0,0,0,0
269,1.5,1.7,0,0,0,0,0,0,0.4,0.551428571
270,2.8,2.1,0,0,0,0,0,0,0.6125,1.32125
271,7.7,2.6,4.6,3.2,1.7,0,0,0,2.475,7.333571429
272,1.9,1.3,2.3,8.5,0,0,0,0,1.75,8.334285714
273,5.5,1.4,2.6,3.3,2,2.2,0,0,2.125,3.225
274,4.7,1.5,1.4,2.5,8.4,1.5,0,0,2.5,7.908571429
275,0.3,1,0,0,0,0,0,0,0.1625,0.125535714
276,2.2,3,1.4,2.5,2.6,1.3,0,0,1.625,1.339285714
277,13.5,2.5,1.4,1.6,1.2,0.9,2,0,2.8875,18.93839286
278,1.9,2.9,2.2,0.5,0,0,0,0,0.9375,1.439821429
279,6.2,5,1.5,1.7,1.1,2.7,0,0,2.275,5.096428571
280,7.5,5.3,0,0,0,0,0,0,1.6,9.122857143
281,1.2,0.6,3.3,0,0,0,0,0,0.6375,1.348392857
282,1.1,0,0,0,0,0,0,0,0.1375,0.15125
283,1.4,2.5,1,2.5,2.7,5.5,0,0,1.95,3.225714286
284,9.5,6,2.2,1.5,6.5,8.5,0,0,4.275,14.51928571
285,1.2,1,0,0,0,0,0,0,0.275,0.262142857
286,6.1,4.2,1.8,0,0,0,0,0,1.5125,5.684107143
287,1.5,0.8,1.9,1.9,3.6,1.7,1,0,1.55,1.105714286
288,0,0,0,0,0,0,0,0,0,0
289,0.8,4.1,3,3.1,2.1,0,0,0,1.6375,2.716964286
290,1.5,1.7,0.7,0.8,0,0,0,0,0.5875,0.50125
291,3.3,0,0,0,0,0,0,0,0.4125,1.36125
292,5.5,1.3,3,2.8,0,0,0,0,1.575,4.133571429
293,3.3,5.5,0,0,0,0,0,0,1.1,4.494285714
294,1.5,1.5,2.7,1,1.7,2.5,0,0,1.3625,1.01125
295,8,7,6.4,7.5,0,0,0,0,3.6125,15.11553571
296,7,0,0,0,0,0,0,0,0.875,6.125
297,1,0,0,0,0,0,0,0,0.125,0.125
298,5.5,5.5,1,1.2,0,0,0,0,1.65,5.88
299,0,0,0,0,0,0,0,0,0,0
300,9.8,0.7,6.7,7,0.5,0,0,0,3.0875,16.34410714
443,5.2,5.6,4,9.6,5,1.2,0,0,3.825,10.85071429
444,0,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0
446,9,0,0,0,0,0,0,0,1.125,10.125
447,2,1.4,4.8,0,0,0,0,0,1.025,2.942142857
448,8,10,11,16,2,6,4.3,0,7.1625,27.01125
449,4,13.6,13.2,7,8.2,3.5,2.5,2,6.75,21.34857143
450,2.7,1,3.7,0.8,2.4,3.1,1.7,0,1.925,1.605
451,0,0,0,0,0,0,0,0,0,0
452,1.2,1.6,0,0,0,0,0,0,0.35,0.431428571
453,12,6.6,8.8,8,0,0,0,0,4.425,24.62214286
454,3.3,9.5,0,0,0,0,0,0,1.6,11.52285714
455,2.2,1.4,0,0,0,0,0,0,0.45,0.74
456,1.4,0.6,0,0,0,0,0,0,0.25,0.26
457,3.6,5.6,6.1,3.8,7.1,5.6,2.5,0,4.2875,5.275535714
458,6.3,3,4,3.4,5.2,8.9,5.6,4,5.05,3.691428571
459,7,5.2,2.3,0,0,0,0,0,1.8125,7.864107143
460,0,0,0,0,0,0,0,0,0,0
461,6.7,7.6,5.5,5.2,0,0,0,0,3.125,11.68785714
462,9.1,13.2,7.5,0,0,0,0,0,3.725,28.89928571
463,0,0,0,0,0,0,0,0,0,0
464,2.2,2.9,1.7,2.4,2.6,7,0.6,0,2.425,4.425
465,0.3,4.3,4.2,0,0,0,0,0,1.1,3.791428571
466,0,0,0,0,0,0,0,0,0,0
467,4.2,7,5.6,4.5,1.7,4.4,4,0,3.925,4.750714286
468,9.6,11.2,6.3,0.8,1.3,2,1.3,2,4.3125,17.21839286
469,0,0,0,0,0,0,0,0,0,0
470,1,0,0,0,0,0,0,0,0.125,0.125
471,3.5,2,2.8,1.6,2.6,0,0,0,1.5625,1.982678571
472,1.4,0,0,0,0,0,0,0,0.175,0.245
474,7,7.4,6,5.2,5,3.5,1.6,0,4.4625,6.756964286
