Stand ID	Tree Species	Stand Density	DBH	Tree Height	Crown Ratio	scorch height	col 7 ID	Fire severity
UWTT	QUGA4	20	4.2158	24.272	4	7.4	S	"""Low"""
UWTT	QUGA4	20	7.8406	33.128	3	10.1	S	"""Low"""
UWTT	QUGA4	20	13.7112	58.056	4	12.15	S	"""Low"""
UWTT	QUGA4	20	23.5612	61.664	3	15.08	S	"""Low"""
UWTT	QUGA4	20	17.4936	52.48	2	16	S	"""Low"""
UWTT	QUGA4	20	11.9776	41.328	6	11.04	S	"""Low"""
UWTT	QUGA4	20	14.2628	34.112	5	8.52	S	"""Low"""
UWTT	QUGA4	20	10.244	51.496	5	10.59	S	"""Low"""
UWTT	QUGA4	20	9.2196	43.624	3	11.54	S	"""Low"""
UWTT	QUGA4	20	7.9982	32.144	7	8.18	S	"""Low"""
UWTT	QUGA4	20	12.608	28.864	4	6.6	S	"""Low"""
UWTT	QUGA4	20	8.9044	41.656	5	7.3	S	"""Low"""
UWTT	QUGA4	20	15.4448	58.712	5	16.26	S	"""Low"""
UWTT	QUGA4	20	15.563	38.376	3	3.625	S	"""Low"""
UWTT	QUGA4	20	10.2046	42.312	3	12.9	S	"""Low"""
UWTT	QUGA4	20	12.4504	46.248	3	4.893	S	"""Low"""
UWTT	QUGA4	20	12.8838	24.272	4	3.315	S	"""Low"""
UWTT	QUGA4	20	11.7806	31.816	4	4.12	S	"""Low"""
UWTT	QUGA4	20	16.548	38.704	4	11.06	S	"""Low"""
UWTT	QUGA4	20	15.6812	49.528	3	5.02	S	"""Low"""
UWTT	QUGA4	20	8.7468	33.784	5	10.3	S	"""Low"""
UWTT	QUGA4	20	5.4766	23.616	5	7.2	S	"""Low"""
UWTT	QUGA4	20	11.032	38.704	3	4.78	S	"""Low"""
UWTT	QUGA4	20	10.047	30.504	4	7.74	S	"""Low"""
UWTT	QUGA4	20	6.895	39.032	7	9.86	S	"""Low"""
UWTT	QUGA4	20	5.2008	18.696	7	5.7	S	"""Low"""
UWTT	QUGA4	20	8.471	41.328	5	11.26	S	"""Low"""
UWTT	QUGA4	20	14.7356	57.4	3	11.75	S	"""Low"""
UWTT	QUGA4	20	16.8632	63.632	4	6.8	S	"""Low"""
UWTT	QUGA4	20	5.713	34.44	7	10.2	S	"""Low"""
