tag,DBH cm,height m,stems,crown base ht m, CVS,CVC,bole char ht cm,bole ch DBH perc,bole ch base perc,mean depth consumed cm,percent duff cons ,mean duff depth cm,Cvsprouting percent,max sprout ht cm,sprout BA cm2,epicormics,site,scar,Long,Lat,dieback
201,10.7,7.4,1,3,100,0,0,0,0,0.50,8.33,0.75,0,0,0,,UWTT,888,-122.7063332,46.91624383,100
202,19.9,10.1,2,3.1,100,0,0,0,0,0.00,0.00,0,60,0,0,0,UWTT,891,-122.7064316,46.91623045,40
203,34.8,17.7,3,6.6,50,0,30,0,5,0.00,0.00,0,0,0,0,0,UWTT,894,-122.706402,46.91622156,30
204,59.8,18.8,1,6.4,70,0,2.1,50,80,3.50,79.68,4.542857143,80,15,25.26625892,10,UWTT, ,-122.7062973,46.91638075,10
205,44.4,16,1,3.3,100,0,0,0,0,0.00,0.00,0,70,0,0,0,UWTT,,-122.7065405,46.91628292,20
206,30.4,12.6,1,7.4,70,0,62,0,20,0.00,0.00,0,0,0,0,0,UWTT,901,-122.70643,46.91628682,10
207,36.2,10.4,1,5.7,60,0,105,0,30,0.09,4.38,2,0,0,0,0,UWTT,904,-122.7065457,46.91646106,10
208,26,15.7,2,8.4,30,0,14,0,5,0.00,0.00,0,0,0,0,,UWTT,,-122.7067201,46.91634466,0
209,23.4,13.3,1,4.5,80,0,6,10,0,0.00,0.00,0,0,0,0,,UWTT,,-122.7067258,46.91626494,10
210,20.3,9.8,1,7.1,40,0,43,0,10,0.10,8.33,1.2,0,0,0,,UWTT,911,-122.7067523,46.91634747,10
211,32,8.8,1,3.3,60,0,133,10,20,0.00,0.00,0,0,0,0,,UWTT,,-122.706908,46.91640359,0
212,22.6,12.7,2,6.7,10,0,15,0,10,0.33,12.50,2.6,0,0,0,0,UWTT,916,-122.7069007,46.91645927,10
213,39.2,17.9,1,9.7,80,0,20,0,10,0.00,0.00,0,0,0,0,,UWTT,919,-122.7070899,46.91661175,20
214,39.5,11.7,1,3.2,5,0,0,0,0,0.00,0.00,0,0,0,0,,UWTT,,-122.7071457,46.91628263,0
215,25.9,12.9,1,3.6,100,0,25,0,10,0.28,9.50,3.25,70,0,0,,UWTT,,-122.7071157,46.91638785,10
216,31.6,14.1,1,4.8,1,0,10,0,1,0.00,0.00,0,0,0,0,,UWTT,,-122.707344,46.91634194,0
217,32.7,7.4,2,3.1,5,0,0,0,0,0.00,0.00,0,0,0,0,,UWTT,,-122.7073959,46.9163978,0
218,29.9,9.7,2,3.5,10,0,0,0,0,0.00,0.00,0,0,0,0,,UWTT,930,-122.7077659,46.91660642,0
219,42,11.8,1,4.4,90,0,15,0,1,0.00,0.00,0,70,0,0,,UWTT,933,-122.707803,46.91700244,10
220,39.8,15.1,1,3.9,10,0,0,0,0,0.00,0.00,0,0,0,0,,UWTT,,-122.7078931,46.91729715,0
221,22.2,10.3,1,4.9,100,1,0,0,0,0.00,0.00,0,0,0,0,,UWTT,,-122.7069049,46.91636997,10
222,13.9,7.2,1,3.5,100,1,0,0,0,0.00,0.00,0,10,0,0,,UWTT,,-122.7069251,46.91627446,10
223,28,11.8,2,4,10,0,50,0,20,0.00,0.00,0,0,0,0,,UWTT,942,-122.7070241,46.9162536,0
224,25.5,9.3,1,4.1,70,0,37,0,10,0.35,22.00,1.566666667,0,0,0,,UWTT,950,-122.7069955,46.91629456,10
225,17.5,11.9,1,8.5,40,0,10,0,10,0.13,8.33,0.1875,0,0,0,,UWTT,,-122.7069285,46.91636643,0
226,13.2,5.7,1,4,100,0,73,0,0,0.10,4.55,2.2,0,0,0,,UWTT,949,-122.7068932,46.9163351,100
227,21.5,12.6,1,5.9,80,0,32,0,20,0.00,0.00,0,0,0,0,,UWTT,,-122.7068948,46.91628054,0
228,37.4,17.5,2,6,50,0,25,0,1,0.19,11.03,1.7,0,0,0,,UWTT,955,-122.7072289,46.91656544,0
229,42.8,19.4,1,6.8,0,0,0,0,0,0.00,0.00,0,0,0,0,0,UWTT,1183,-122.7098485,46.91714426,0
230,14.5,10.5,1,7.5,90,0,38,0,100,2.36,69.74,3.2,0,0,0,0,UWTT,1186,-122.7095803,46.91717287,10
231,19.9,13,1,7.5,40,0,22,0,50,0.65,21.53,2.966666667,0,0,0,0,UWTT,1189,-122.7096338,46.91718171,10
232,21.6,10.5,1,7.6,100,0,10,0,40,0.33,8.61,3.85,30,5,4.154756284,0,UWTT,1192,-122.7093658,46.91714341,40
233,15.9,7,1,3.3,80,0,11,0,30,0.31,12.33,2.5,0,0,0,0,UWTT,1195,-122.7092926,46.91713719,50
234,9.1,6.2,1,4,100,0,20,0,0,0.00,0.00,0,0,0,0,0,UWTT,,-122.7092009,46.91699918,20
235,38.3,14.1,1,4.2,90,0,0,0,0,0.16,7.39,2.2,0,0,0,0,UWTT,1200,-122.7093409,46.91709756,30
236,16,9.3,1,4.6,100,0,100,0,40,1.13,32.80,3.3,80,0,0,0,UWTT,1203,-122.7094483,46.91737891,50
237,22.2,12.1,1,6.2,100,0,75,0,10,0.00,0.00,0,20,0,0,0,UWTT,,-122.7093203,46.91738049,50
238,32.8,10.2,2,3.9,90,0,70,0,80,1.74,48.33,3.525,0,0,0,0,UWTT,1208,-122.7094231,46.9168417,10
239,7.4,4.8,1,3.1,100,0,0,0,0,0.60,18.08,3.4,0,0,0,0,UWTT,1211,-122.7092932,46.91682503,90
240,16.2,11.2,1,5.5,100,0,72,0,50,0.56,15.33,3.933333333,0,0,0,80,UWTT,,-122.708773,46.91676502,100
241,12.6,8.3,1,3.7,100,0,0,0,0,0.00,0.00,0,5,0,0,30,UWTT,,-122.7086705,46.91681582,100
242,28,15,2,4.4,10,0,16,0,20,0.44,16.22,2.466666667,0,0,0,0,UWTT,1218,-122.7083857,46.91676197,0
243,9,4.5,1,2.25,90,0,175,30,60,0.28,12.50,2.2,5,0,0,0,UWTT,1221,-122.7083537,46.91668399,60
244,23,14.1,1,6.3,20,0,40,0,70,0.00,0.00,0,0,0,0,0,UWTT,,-122.7084063,46.91662507,10
245,21.8,13,1,4.7,100,0,8,0,20,0.00,0.00,0,0,0,0,0,UWTT,,-122.708554,46.916609,50
246,17.1,13,1,9.3,90,0,33,0,70,0.08,3.95,1.9,0,0,0,0,UWTT,1226,-122.7085181,46.91662168,10
247,39.8,11,1,2.9,10,0,15,0,10,0.00,0.00,0,0,0,0,0,UWTT,,-122.7090686,46.91651393,10
248,5,3.6,2,2.17,70,0,7,0,10,0.28,12.97,2.05,0,0,0,,UWTT,1233,-122.7092042,46.91659653,30
249,5.1,3.1,1,2,100,0,23,0,60,0.25,8.77,2.866666667,0,0,0,70,UWTT,1236,-122.7091513,46.91667654,100
250,5,2.85,2,2,100,0,0,0,0,0.00,0.00,0,0,0,0,0,UWTT,1239,-122.7094762,46.91655517,50
251,21.5,11.7,2,2,100,1,50,0,50,1.40,50.00,2.8,60,0,0,,UWTB,9226,-122.7059912,46.91656416,50
252,8.2,5.4,3,2.3,100,0,9,0,15,1.43,33.22,3.8,0,0,0,,UWTB,9229,-122.7062264,46.91685894,80
253,28.6,10.5,4,3.6,100,1,250,50,50,3.24,60.06,5.1,50,0,0,,UWTB,9233,-122.7062636,46.91686353,40
254,25.2,10.1,2,2.7,100,0,100,0,90,0.85,21.94,3.933333333,5,0,0,,UWTB,9237,-122.706387,46.91688404,10
255,15.9,13.1,2,7.1,80,0,10,0,30,3.09,62.55,4.685714286,0,0,0,,UWTB,9242,-122.706542,46.91700102,30
256,21.4,8.1,3,6.3,10,0,22,0,70,1.44,57.82,2.6,0,0,0,,UWTB,9257,-122.7066337,46.91709588,10
257,37.9,11.6,2,7.1,0,0,37,0,30,1.79,30.56,7.266666667,0,0,0,,UWTB,9245,-122.7068321,46.91708198,0
258,22.6,11.6,2,7.6,0,0,7,0,5,0.00,0.00,0,0,0,0,,UWTB,9248,-122.7070388,46.9170823,10
259,20,13.7,3,6.8,0,0,0,0,0,0.00,0.00,0,0,0,0,,UWTB,,-122.7071217,46.91709687,0
260,26.4,14.7,3,9.1,0,0,0,0,0,0.00,0.00,0,0,0,0,,UWTB,9251,-122.7070928,46.91701009,0
261,13,5.5,3,4,90,0,25.6,20,100,4.39,71.67,6.014285714,0,0,0,,UWTB,9260,-122.7069728,46.91694918,50
262,11.5,6.7,3,4.6,100,0,151,10,80,0.86,14.24,5.95,0,0,0,,UWTB,1277,-122.7070052,46.91691943,70
263,18.4,11.1,3,7.2,80,0,380,50,100,1.84,56.91,3.485714286,0,0,0,,UWTB,1280,-122.7068891,46.91685584,10
264,45.2,14.6,4,4.2,10,0,5,0,5,0.21,8.50,2.5,0,0,0,,UWTB,1283,-122.7064899,46.91717249,0
265,30.1,11.2,2,4.2,30,0,9,0,40,0.16,4.64,3.5,0,0,0,,UWTB,,-122.7065008,46.91715909,0
266,24.1,5.4,2,1.3,0,0,25,0,50,0.20,4.90,4.1,0,0,0,,UWTB,1288,-122.7065645,46.91706962,20
267,25.5,13.9,3,8.4,60,0,25,0,40,0.63,8.93,7,0,0,0,,UWTB,1291,-122.7067097,46.91703018,0
268,20.2,8.8,2,2.1,90,0,0,0,0,0.00,0.00,0,0,0,0,,UWTB,1294,-122.7066897,46.91695656,10
269,23.6,11.4,2,5.2,40,0,63,0,20,0.40,15.20,2.65,0,0,0,,UWTB,,-122.7067963,46.91699136,10
270,6.1,4.2,3,2.2,100,0,140,40,90,0.61,17.50,0.9,0,0,0,,UWTB,1299,-122.7068312,46.91687426,100
271,39.6,17.3,2,7.8,100,0,3,0,70,2.48,49.12,5.2,80,0,0,,UWTB,1302,-122.7067857,46.91679928,0
