"","V1","V2","V3","V4"
"site","HLD01","HLD02","UWTB","UWTT"
"bch.m","54.72941","38.06000","91.58600","28.84200"
"bch.sd"," 48.82111"," 74.38411","108.75046"," 37.57098"
"bcc.m","70.60784","25.80000","50.30000","19.66000"
"bcc.sd","33.80596","36.53849","31.83840","26.27454"
"dbhcc.m"," 5.686275"," 5.600000","15.800000"," 2.000000"
"dbhcc.sd","17.578954","18.969363","25.622057"," 8.329931"
"pcvs.m","69.01961","49.20000","67.30000","66.02000"
"pcvs.sd","32.32676","41.64182","40.29496","36.37082"
"duff.cm.m","3.260588","0.606600","1.620400","0.294800"
"duff.cm.sd","2.7604662","1.1928231","1.4612951","0.6415168"
"duff.per.m","37.35843"," 9.42160","28.48560"," 9.14360"
"duff.per.sd","31.48157","17.21774","22.78298","16.61719"
"dieback.m","29.80392","21.90000","33.60000","26.00000"
"dieback.sd","31.40001","25.90977","30.69002","31.68725"
